file                        format  type     num_seqs         sum_len  min_len  avg_len  max_len
ALA-KLS1140_R1.fastq.gz     FASTQ   DNA   397,072,003  59,560,800,450      150      150      150
ALA-KLS1140_R2.fastq.gz     FASTQ   DNA   397,072,003  59,560,800,450      150      150      150
ALA-KLS1167_R1.fastq.gz     FASTQ   DNA   150,033,797  22,505,069,550      150      150      150
ALA-KLS1167_R2.fastq.gz     FASTQ   DNA   150,033,797  22,505,069,550      150      150      150
HAT-VTA_2_R1.fastq.gz       FASTQ   DNA   170,636,797  25,595,519,550      150      150      150
HAT-VTA_2_R2.fastq.gz       FASTQ   DNA   170,636,797  25,595,519,550      150      150      150
HCU-1VT_R1.fastq.gz         FASTQ   DNA   133,793,157  20,068,973,550      150      150      150
HCU-1VT_R2.fastq.gz         FASTQ   DNA   133,793,157  20,068,973,550      150      150      150
HCU-2VT_R1.fastq.gz         FASTQ   DNA   139,082,389  20,862,358,350      150      150      150
HCU-2VT_R2.fastq.gz         FASTQ   DNA   139,082,389  20,862,358,350      150      150      150
HCU-3VT_R1.fastq.gz         FASTQ   DNA   144,594,224  21,689,133,600      150      150      150
HCU-3VT_R2.fastq.gz         FASTQ   DNA   144,594,224  21,689,133,600      150      150      150
HCU-4VT_R1.fastq.gz         FASTQ   DNA   193,966,164  29,094,924,600      150      150      150
HCU-4VT_R2.fastq.gz         FASTQ   DNA   193,966,164  29,094,924,600      150      150      150
HCU-7VT_R1.fastq.gz         FASTQ   DNA   127,584,748  19,137,712,200      150      150      150
HCU-7VT_R2.fastq.gz         FASTQ   DNA   127,584,748  19,137,712,200      150      150      150
HEL-KLS1024_R1.fastq.gz     FASTQ   DNA   171,504,804  25,725,720,600      150      150      150
HEL-KLS1024_R2.fastq.gz     FASTQ   DNA   171,504,804  25,725,720,600      150      150      150
HEL-KLS1025_R1.fastq.gz     FASTQ   DNA   155,300,904  23,295,135,600      150      150      150
HEL-KLS1025_R2.fastq.gz     FASTQ   DNA   155,300,904  23,295,135,600      150      150      150
HEL-KLS1027_R1.fastq.gz     FASTQ   DNA   155,485,660  23,322,849,000      150      150      150
HEL-KLS1027_R2.fastq.gz     FASTQ   DNA   155,485,660  23,322,849,000      150      150      150
HEL-KLS1034_R1.fastq.gz     FASTQ   DNA   231,334,724  34,700,208,600      150      150      150
HEL-KLS1034_R2.fastq.gz     FASTQ   DNA   231,334,724  34,700,208,600      150      150      150
HEL-KLS1121_R1.fastq.gz     FASTQ   DNA   541,907,891  81,286,183,650      150      150      150
HEL-KLS1121_R2.fastq.gz     FASTQ   DNA   541,907,891  81,286,183,650      150      150      150
HMA-KLS0629_R1.fastq.gz     FASTQ   DNA   148,866,851  22,330,027,650      150      150      150
HMA-KLS0629_R2.fastq.gz     FASTQ   DNA   148,866,851  22,330,027,650      150      150      150
HMA-KLS0630_R1.fastq.gz     FASTQ   DNA   137,374,176  20,606,126,400      150      150      150
HMA-KLS0630_R2.fastq.gz     FASTQ   DNA   137,374,176  20,606,126,400      150      150      150
HMA-KLS0631_R1.fastq.gz     FASTQ   DNA   148,584,032  22,287,604,800      150      150      150
HMA-KLS0631_R2.fastq.gz     FASTQ   DNA   148,584,032  22,287,604,800      150      150      150
HMA-KLS0647_R1.fastq.gz     FASTQ   DNA   106,790,362  16,018,554,300      150      150      150
HMA-KLS0647_R2.fastq.gz     FASTQ   DNA   106,790,362  16,018,554,300      150      150      150
HMA-KLS1020_R1.fastq.gz     FASTQ   DNA   113,989,561  17,098,434,150      150      150      150
HMA-KLS1020_R2.fastq.gz     FASTQ   DNA   113,989,561  17,098,434,150      150      150      150
HOR-FMNH249563_R1.fastq.gz  FASTQ   DNA   123,127,923  18,469,188,450      150      150      150
HOR-FMNH249563_R2.fastq.gz  FASTQ   DNA   123,127,923  18,469,188,450      150      150      150
MGR-835_R1.fastq.gz         FASTQ   DNA   448,489,566  65,889,056,011       35    146.9      151
MGR-835_R2.fastq.gz         FASTQ   DNA   448,489,566  66,186,035,459       35    147.6      151
